date,japan,hokkaido,aomori,iwate,miyagi,akita,yamagata,fukushima,ibaraki,tochigi,gunma,saitama,chiba,tokyo,kanagawa,niigata,toyama,ishikawa,fukui,yamanashi,nagano,gifu,shizuoka,aichi,mie,shiga,kyoto,osaka,hyogo,nara,wakayama,tottori,shimane,okayama,hiroshima,yamaguchi,tokushima,kagawa,ehime,kochi,fukuoka,saga,nagasaki,kumamoto,oita,miyazaki,kagoshima,okinawa
2020/8/14,29,63,70,73,39,100,81,91,48,66,66,8,30,-16,24,99,92,97,138,164,110,64,66,14,46,113,25,-1,33,40,115,103,89,47,31,46,52,37,47,65,15,27,25,34,38,16,23,-32
2020/8/15,6,64,85,56,31,70,41,61,9,16,24,-12,4,-24,-1,40,48,32,96,80,59,15,11,-9,-3,49,-8,-18,6,3,66,43,44,22,2,20,22,11,14,35,2,4,20,11,11,1,12,-44
2020/8/16,-5,75,76,46,14,88,30,16,2,5,5,-16,0,-24,-11,18,19,11,28,43,22,-12,-4,-18,-21,8,-19,-26,-18,-4,32,19,37,-6,-18,8,8,-3,7,9,-5,-7,-6,1,-2,-20,-5,-41
2020/8/17,-3,45,,,9,,,26,-8,7,7,-14,-3,-21,-7,27,,,,,32,-8,3,-7,-14,,-14,-18,-3,-17,,,,1,-4,1,,,,,3,,-3,-4,-11,-12,-1,-43
2020/8/18,4,37,,,10,,,27,0,14,18,0,4,-13,-2,34,,,,,34,-2,9,-1,-6,,-6,-13,3,-9,,,,14,6,8,,,,,3,,-11,-1,-10,-13,-6,-40
2020/8/19,2,35,,,23,,,,10,18,10,2,12,-11,6,42,,,,,33,-4,7,-5,-5,,-7,-8,2,-6,,,,2,0,5,,,1,,10,,-5,-2,-10,-9,-6,-36
2020/8/20,-4,18,,,9,,,22,-5,9,9,-10,-2,-17,-4,31,,,,,28,-6,5,-7,-7,,-12,-16,-6,-12,,,,1,-3,1,,,-2,,-4,,-9,0,-12,,-4,-38
2020/8/21,-4,37,,,5,,,17,0,12,8,-10,4,-18,-2,28,,,,,22,-11,10,-9,-6,,-13,-20,-6,-14,,,,-1,-7,-8,,,-1,,-8,,-15,-10,-14,-13,-10,-39
2020/8/22,-8,69,,,16,,,25,-2,-6,-5,-15,-4,-20,-7,24,,6,,20,8,-21,-8,-16,-23,9,-23,-29,-10,-28,,,,2,-14,-10,,-14,-14,,-12,-19,-22,-19,-20,-17,-9,-53
2020/8/23,-9,74,,,11,,,15,-9,-4,-9,-9,-21,-23,-20,22,19,-3,,12,4,-20,-12,-14,-28,6,-20,-21,-15,-10,,,,-10,-21,-6,,-8,-3,-4,-7,-16,-9,-5,-16,-25,-10,-67
2020/8/24,-5,39,,,7,,,13,-7,6,-1,-10,0,-16,-6,18,,,,,17,-15,-4,-8,-18,,-15,-16,-5,-20,,,,0,-3,-2,,,2,,-3,,-6,-9,-16,-14,-3,-68
2020/8/25,1,32,,,5,,,13,-2,9,11,1,5,-11,-1,27,,,,,21,-4,-2,-1,-12,,-10,-11,1,-14,,,,11,3,5,,,,,0,,-16,-6,-19,-26,-11,-44
2020/8/26,-2,36,,,22,,,33,9,14,4,2,9,-12,2,29,,,,,23,-6,-4,-6,-9,,-7,-10,1,-14,,,,1,1,-1,,,-6,,4,,-13,-6,-22,-30,-22,-55
2020/8/27,-7,31,,,11,,,16,-9,1,1,-11,-5,-20,-6,21,,,,,17,-9,-7,-7,-24,,-12,-21,-7,-20,,,,0,-3,-3,,,-7,,-4,,-21,-8,-17,-20,-17,-44
2020/8/28,-6,34,,,5,,,11,-1,6,6,-10,1,-18,-5,19,,,,,19,-11,-9,-7,-15,,-18,-18,-4,-24,,,,0,-5,-8,,,-4,,-5,,-24,-5,-16,-19,-8,-39
2020/8/29,-5,27,,,3,,,25,-6,4,3,-13,-3,-18,-4,18,,3,,48,31,-6,-3,-11,-18,19,-18,-21,-3,-21,,,,5,-11,-2,,-11,-3,,-5,-11,-11,-6,-9,-8,-1,-46
2020/8/30,-8,-19,-14,-5,-6,,,9,3,-4,-3,-10,4,-14,-6,13,14,-3,,49,12,-17,-3,-13,-20,12,-18,-22,-17,-10,,,,-9,-19,0,,-7,-1,0,-3,-11,-4,-4,-9,-18,-6,-47
2020/8/31,-10,26,,,-8,,,0,-6,-5,-4,-13,-1,-19,-12,11,,,,,8,-16,-12,-10,-18,,-19,-19,-6,-21,,,,-1,-6,-2,,,2,,-3,,-9,-9,-17,-14,-2,-68
2020/9/1,-3,24,,,-12,,,8,-6,6,5,3,2,-11,-1,28,,,,,11,-9,-4,-3,-19,,-11,-16,0,-13,,,,9,4,3,,,,,0,,-17,-7,-19,-24,-17,-84
2020/9/2,-10,31,,,14,,,18,-5,-7,-10,-8,-1,-20,-9,27,,,,,14,-9,-13,-6,-18,,-8,-15,-5,-15,,,,-6,-2,-13,,,-11,,-15,,-37,-26,-38,-40,-35,-45
2020/9/3,-11,22,,,7,,,17,-8,-2,-2,-11,-5,-20,-13,16,,,,,6,-22,-30,-19,-23,,-16,-17,-9,-18,,,,-2,-4,-7,,,-12,,-7,,-15,-13,-19,,-8,-46
2020/9/4,-10,22,,,4,,,7,-3,-3,-4,-16,-2,-20,-5,12,,-6,,,6,-22,-6,-16,-24,,-22,-22,-7,-24,,,,-9,-4,-11,,,-13,,-6,,-16,-11,-20,-19,-12,-42
2020/9/5,-12,42,,,-2,,,9,-12,-13,-12,-13,-8,-22,-10,11,,5,,19,12,-15,-11,-11,-19,14,-19,-24,-10,-23,,,,-5,-16,-25,,-19,-18,-18,-25,-37,-30,-27,-40,-38,-29,-63
2020/9/6,-23,64,,,7,,,19,-8,-12,-24,-27,-16,-34,-24,19,13,-10,,-6,3,-21,-27,-18,-53,-21,-29,-27,-25,-27,,,,-26,-38,-45,,-29,-37,-50,-53,-67,-62,-65,-70,-81,-74,-78
2020/9/7,-23,34,,,6,,,9,-13,-11,-8,-24,-14,-33,-31,18,,,,,3,-34,-37,-31,-38,,-23,-22,-21,-28,,,,-11,-27,-45,,,-21,,-47,,-51,-55,-44,-30,-25,-39
2020/9/8,0,29,,,1,,,15,-2,10,9,-1,1,-12,-4,27,,,,,16,-8,-16,-1,-7,,-5,-9,6,-9,,,,16,10,8,,,,,5,,-12,-7,-16,-10,-6,-35
2020/9/9,-3,34,,,22,,,27,6,11,3,2,6,-13,3,23,,,,,13,-12,-13,-13,-14,,-8,-15,-4,-16,,,,6,7,7,,,-4,,9,,-6,-3,-11,-4,-9,-42
2020/9/10,-4,10,,,11,,,20,-2,10,3,-3,0,-13,-1,19,,,,,10,-16,-12,-14,-17,,-13,-15,-3,-17,,,,8,8,9,,,0,,9,,-2,1,-9,,-4,-35
2020/9/11,-2,30,36,36,12,72,32,18,5,10,8,-4,5,-14,1,29,18,3,18,35,18,-10,4,-5,-6,12,-9,-11,-4,-12,7,1,3,-2,-14,-16,-10,-21,-19,-17,-5,-2,-15,-5,-20,-15,-10,-29
2020/9/12,-15,47,11,27,-31,97,43,4,-29,-24,-13,-34,-29,-41,-34,31,33,11,47,11,18,-2,-13,-2,-16,23,-8,-9,6,-13,20,2,-15,3,-29,-31,1,-11,-23,-11,-27,-25,-21,-24,-31,-20,-19,-36
2020/9/13,-1,26,9,24,-3,60,23,9,17,4,-5,3,13,-6,3,1,-7,-31,-13,34,-3,-29,-7,-17,-31,-14,-20,-14,-9,-15,11,9,28,4,1,11,12,14,4,1,17,10,6,6,0,-15,-10,-33
2020/9/14,2,27,21,13,6,52,35,27,5,14,12,-6,3,-15,-3,24,40,11,36,26,28,5,-1,6,1,28,2,-2,10,-1,19,21,44,20,13,17,14,6,17,12,15,6,4,3,-3,2,7,-34
2020/9/15,11,29,43,39,15,65,53,28,10,22,22,9,13,-5,7,39,39,29,48,38,32,16,5,13,10,49,10,0,19,6,31,34,50,33,20,24,23,6,22,20,19,8,-3,6,-2,-3,-1,-31
2020/9/16,7,32,71,58,34,94,74,45,20,24,13,12,13,-5,8,52,54,42,56,29,31,8,-3,8,5,28,11,3,17,3,20,40,42,17,12,3,11,1,-1,-4,3,-5,-15,-13,-16,-17,-14,-28
2020/9/17,0,28,43,44,23,66,56,29,4,15,14,0,7,-8,5,36,34,16,33,28,21,-4,-1,-1,-5,9,-6,-10,-1,-8,7,2,11,4,-10,-8,4,-8,-8,-5,-12,-11,-15,-13,-19,-2,-10,-30
